r,n,date
20099,01 06 07 08 15 16 21 09,10/7/2020
20098,01 05 10 20 23 24 30 03,10/5/2020
20097,03 08 12 13 15 21 25 14,9/30/2020
20096,02 11 12 14 18 23 29 04,9/28/2020
20095,04 16 18 21 24 28 30 05,9/25/2020
20094,02 13 17 18 20 22 25 10,9/23/2020
20093,02 07 08 09 20 23 27 29,9/21/2020
20092,05 09 10 13 28 29 30 26,9/18/2020
20091,01 12 13 19 20 24 25 27,9/16/2020
20090,05 07 09 10 20 22 24 27,9/14/2020
20089,05 08 09 12 14 21 29 02,9/11/2020
20088,02 03 12 13 20 22 26 15,9/9/2020
20087,02 03 10 18 19 21 22 17,9/7/2020
20086,02 05 07 10 13 22 30 20,9/4/2020
20085,02 05 09 11 19 24 30 07,9/2/2020
20084,01 07 12 13 17 18 24 09,8/31/2020
20083,08 09 10 14 20 24 26 07,8/28/2020
20082,01 02 05 11 17 21 29 10,8/26/2020
20081,02 11 12 14 24 27 28 25,8/24/2020
20080,08 14 18 22 23 26 29 20,8/21/2020
20079,04 11 15 17 21 24 25 02,8/19/2020
20078,02 09 14 16 24 26 30 23,8/17/2020
20077,09 11 15 22 23 24 27 08,8/14/2020
20076,03 11 15 16 17 19 30 21,8/12/2020
20075,06 11 16 17 18 20 29 26,8/10/2020
20074,04 06 08 10 12 20 21 07,8/7/2020
20073,01 07 12 14 21 24 27 26,8/5/2020
20072,09 11 16 17 19 25 30 15,8/3/2020
20071,11 12 17 21 23 27 29 09,7/31/2020
20070,06 08 14 15 18 21 22 13,7/29/2020
20069,06 08 14 20 25 29 30 23,7/27/2020
20068,02 06 10 13 16 17 18 30,7/24/2020
20067,02 05 07 21 22 23 28 24,7/22/2020
20066,02 03 08 13 25 29 30 09,7/20/2020
20065,08 09 10 11 15 25 26 06,7/17/2020
20064,01 02 03 04 18 21 23 29,7/15/2020
20063,07 11 12 15 19 27 28 25,7/13/2020
20062,01 04 08 12 20 21 28 07,7/10/2020
20061,03 04 11 15 19 23 27 18,7/8/2020
20060,12 18 20 22 23 28 30 17,7/6/2020
20059,04 05 07 13 17 18 26 22,7/3/2020
20058,02 04 05 06 08 16 21 12,7/1/2020
20057,08 17 20 24 28 29 30 27,6/29/2020
20056,03 05 10 14 24 27 28 07,6/26/2020
20055,16 18 21 23 27 28 29 22,6/24/2020
20054,02 12 17 22 23 25 26 24,6/22/2020
20053,05 07 16 23 24 26 30 17,6/19/2020
20052,01 04 08 09 10 13 29 19,6/17/2020
20051,05 08 10 25 26 28 29 18,6/15/2020
20050,07 11 12 23 24 26 29 18,6/12/2020
20049,03 08 18 20 22 26 27 28,6/10/2020
20048,05 09 11 15 24 27 30 17,6/8/2020
20047,03 09 14 15 18 24 29 30,6/5/2020
20046,01 02 03 08 13 18 24 25,6/3/2020
20045,01 02 03 11 19 22 29 13,6/1/2020
20044,02 08 12 17 18 25 27 29,5/29/2020
20043,02 09 13 15 23 24 27 10,5/27/2020
20042,03 09 10 16 17 18 28 24,5/25/2020
20041,03 07 19 22 24 27 30 17,5/22/2020
20040,02 05 18 20 24 27 30 29,5/20/2020
20039,01 14 15 17 18 24 29 04,5/18/2020
20038,02 07 22 24 27 29 30 12,5/15/2020
20037,15 17 19 21 23 24 27 09,5/13/2020
20036,07 09 11 15 16 17 20 26,5/11/2020
20035,04 07 18 19 21 22 25 11,5/8/2020
20034,02 07 09 13 14 23 26 15,5/6/2020
20033,09 10 19 21 24 25 29 17,5/4/2020
20032,06 08 10 15 19 22 24 12,5/1/2020
20031,04 08 09 10 11 22 24 23,4/29/2020
20030,04 09 13 15 18 24 25 02,4/27/2020
20029,01 03 14 21 23 28 29 26,4/24/2020
20028,04 06 17 20 24 27 29 13,4/22/2020
20027,05 06 10 12 13 18 25 07,4/20/2020
20026,08 14 18 22 23 25 27 07,4/17/2020
20025,01 06 10 15 23 24 28 20,4/15/2020
20024,06 09 14 15 21 23 28 18,4/13/2020
20023,01 02 03 07 16 21 22 17,4/10/2020
20022,01 05 08 09 20 22 23 19,4/8/2020
20021,03 06 18 20 23 24 28 14,4/6/2020
20020,02 07 11 13 21 25 30 10,4/3/2020
20019,03 07 11 20 21 22 23 27,4/1/2020
20018,06 13 15 23 24 26 28 08,3/30/2020
20017,02 07 08 14 19 29 30 03,3/27/2020
20016,09 12 17 18 19 25 28 07,3/25/2020
20015,03 04 06 12 13 24 29 08,3/23/2020
20014,01 08 21 22 24 26 29 07,3/20/2020
20013,04 07 12 16 17 20 29 09,3/18/2020
20012,02 07 09 13 15 22 30 27,3/16/2020
20011,02 04 07 16 18 21 29 23,3/13/2020
20010,04 06 08 14 25 26 30 23,3/11/2020
20009,04 05 10 16 21 23 29 14,1/20/2020
20008,01 03 05 10 12 16 20 28,1/17/2020
20007,09 11 19 20 23 25 29 17,1/15/2020
20006,02 05 08 15 16 21 29 17,1/13/2020
20005,07 17 19 21 22 23 29 26,1/10/2020
20004,03 08 09 18 20 28 30 16,1/8/2020
20003,02 03 06 14 16 17 21 11,1/6/2020
20002,05 14 16 17 19 22 24 02,1/3/2020
20001,03 04 05 08 18 19 22 30,1/1/2020
19150,03 09 13 15 20 26 28 02,12/30/2019
19149,04 05 07 13 16 19 26 17,12/27/2019
19148,01 02 06 12 18 23 26 17,12/25/2019
19147,02 04 09 19 20 24 25 15,12/23/2019
19146,07 08 11 13 22 23 28 09,12/20/2019
19145,07 08 10 14 22 23 24 21,12/18/2019
19144,03 04 16 18 19 20 26 14,12/16/2019
19143,07 09 13 16 25 28 29 18,12/13/2019
19142,05 06 08 10 11 26 27 01,12/11/2019
19141,11 14 15 20 21 23 27 07,12/9/2019
19140,07 11 16 20 24 26 29 03,12/6/2019
19139,03 05 10 14 18 28 30 23,12/4/2019
19138,05 07 17 20 23 27 30 18,12/2/2019
19137,05 10 11 15 23 28 29 24,11/29/2019
19136,01 04 05 10 16 22 25 09,11/27/2019
19135,03 08 14 21 22 24 29 05,11/25/2019
19134,01 04 05 18 22 24 27 13,11/22/2019
19133,01 02 10 12 14 26 30 11,11/20/2019
19132,05 08 11 22 24 26 30 07,11/18/2019
19131,08 11 14 17 22 24 27 15,11/15/2019
19130,01 06 17 21 23 25 27 11,11/13/2019
19129,06 07 11 14 17 18 21 26,11/11/2019
19128,02 07 08 10 16 21 23 30,11/8/2019
19127,02 04 14 16 19 26 28 11,11/6/2019
19126,07 09 10 12 13 17 22 26,11/4/2019
19125,02 06 07 09 17 24 27 12,11/1/2019
19124,07 13 17 20 25 26 29 11,10/30/2019
19123,01 08 10 15 21 22 28 09,10/28/2019
19122,01 02 04 06 08 14 17 27,10/25/2019
19121,02 11 16 20 23 27 29 01,10/23/2019
19120,04 14 21 23 26 28 30 29,10/21/2019
19119,08 11 17 21 22 24 28 09,10/18/2019
19118,11 12 17 22 27 28 29 20,10/16/2019
19117,03 06 19 20 22 26 27 25,10/14/2019
19116,02 08 14 15 16 20 23 04,10/11/2019
19115,03 06 19 25 27 28 29 05,10/9/2019
19114,01 08 11 13 16 20 28 09,9/30/2019
19113,02 07 10 15 22 25 26 21,9/27/2019
19112,13 18 19 21 24 26 29 25,9/25/2019
19111,07 08 11 16 17 26 29 22,9/23/2019
19110,03 05 11 15 19 24 27 28,9/20/2019
19109,03 13 18 21 22 28 30 04,9/18/2019
19108,02 05 06 09 10 20 23 25,9/16/2019
19107,03 06 12 16 18 21 22 24,9/13/2019
19106,02 05 07 10 12 14 16 30,9/11/2019
19105,11 12 16 19 20 23 25 14,9/9/2019
19104,09 18 24 25 26 27 30 21,9/6/2019
19103,04 06 07 12 24 25 30 08,9/4/2019
19102,07 08 09 13 15 22 30 01,9/2/2019
19101,04 06 09 12 13 16 24 27,8/30/2019
19100,02 04 05 12 13 20 25 22,8/28/2019
19099,01 05 09 19 20 26 29 27,8/26/2019
19098,08 11 12 16 24 28 29 06,8/23/2019
19097,04 09 15 16 17 22 25 03,8/21/2019
19096,01 13 19 21 27 28 29 20,8/19/2019
19095,07 08 10 11 17 24 26 19,8/16/2019
19094,02 05 07 09 14 15 20 13,8/14/2019
19093,05 07 13 14 18 20 21 26,8/12/2019
19092,03 11 12 13 21 23 28 24,8/9/2019
19091,04 10 21 22 24 26 28 08,8/7/2019
19090,01 04 06 10 15 16 21 30,8/5/2019
19089,05 11 13 16 26 28 30 10,8/2/2019
19088,01 06 10 12 15 16 21 20,7/31/2019
19087,05 07 08 10 16 18 25 28,7/29/2019
19086,02 08 14 21 23 26 28 07,7/26/2019
19085,03 04 05 15 20 24 28 18,7/24/2019
19084,10 11 16 17 22 26 27 28,7/22/2019
19083,01 09 15 24 27 28 29 14,7/19/2019
19082,08 11 13 18 24 26 28 12,7/17/2019
19081,01 07 08 17 24 25 27 18,7/15/2019
19080,05 14 18 19 24 25 26 20,7/12/2019
19079,04 14 15 16 17 19 22 13,7/10/2019
19078,02 05 11 13 24 26 27 10,7/8/2019
19077,03 06 09 16 18 22 30 10,7/5/2019
19076,02 10 14 22 26 27 29 21,7/3/2019
19075,01 07 16 18 20 23 25 28,7/1/2019
19074,04 07 10 13 16 18 29 27,6/28/2019
19073,02 04 05 13 17 25 28 09,6/26/2019
19072,07 10 15 16 21 24 28 25,6/24/2019
19071,02 10 12 21 22 23 30 20,6/21/2019
19070,05 06 07 09 13 19 21 29,6/19/2019
19069,01 03 08 09 15 21 24 23,6/17/2019
19068,01 02 07 08 10 12 22 23,6/14/2019
19067,03 05 08 09 27 29 30 28,6/12/2019
19066,05 09 14 22 25 27 28 16,6/10/2019
19065,05 17 19 25 26 28 30 08,6/7/2019
19064,04 05 12 13 22 28 29 19,6/5/2019
19063,07 12 17 18 19 24 29 05,6/3/2019
19062,01 02 07 11 18 20 27 23,5/31/2019
19061,01 03 13 14 18 21 29 24,5/29/2019
19060,02 03 04 06 07 10 19 25,5/27/2019
19059,03 07 16 19 21 24 30 14,5/24/2019
19058,08 10 20 23 24 25 27 12,5/22/2019
19057,01 07 10 12 13 17 27 29,5/20/2019
19056,02 08 09 10 21 29 30 28,5/17/2019
19055,02 04 16 17 18 22 28 07,5/15/2019
19054,06 10 11 15 16 22 29 21,5/13/2019
19053,01 05 10 12 16 21 23 26,5/10/2019
19052,01 06 09 10 14 18 27 15,5/8/2019
19051,01 04 12 17 19 21 25 29,5/6/2019
19050,05 10 18 20 26 27 30 16,5/3/2019
19049,03 07 10 23 25 26 28 04,5/1/2019
19048,05 07 10 19 25 27 30 12,4/29/2019
19047,01 05 10 13 14 17 22 30,4/26/2019
19046,03 04 05 09 19 21 29 14,4/24/2019
19045,02 03 04 05 08 20 21 23,4/22/2019
19044,03 10 12 18 20 26 29 06,4/19/2019
19043,02 13 15 20 21 22 25 28,4/17/2019
19042,05 08 09 16 17 22 24 14,4/15/2019
19041,02 03 07 11 13 24 26 20,4/12/2019
19040,02 07 10 15 19 24 30 03,4/10/2019
19039,06 07 09 12 23 29 30 14,4/8/2019
19038,02 08 12 18 21 22 28 20,4/5/2019
19037,02 10 13 14 16 18 25 27,4/3/2019
19036,06 13 14 15 16 20 26 08,4/1/2019
19035,01 05 13 14 23 25 26 21,3/29/2019
19034,01 06 10 12 23 26 29 13,3/27/2019
19033,02 03 05 14 16 21 25 22,3/25/2019
19032,03 05 07 18 24 26 29 22,3/22/2019
19031,07 09 10 12 17 26 28 16,3/20/2019
19030,07 09 15 18 19 25 26 21,3/18/2019
19029,05 11 12 13 24 29 30 10,3/15/2019
19028,01 05 09 10 18 23 26 30,3/13/2019
19027,02 09 13 20 24 26 30 07,3/11/2019
19026,07 12 15 17 19 25 28 18,3/8/2019
19025,02 09 10 21 23 28 30 18,3/6/2019
19024,06 07 11 16 20 23 24 13,3/4/2019
19023,02 07 08 17 18 19 26 15,3/1/2019
19022,03 11 13 18 19 21 24 22,2/27/2019
19021,03 09 15 19 20 26 27 17,2/25/2019
19020,02 05 14 15 19 25 28 20,2/22/2019
19019,04 11 19 20 23 27 29 21,2/20/2019
19018,01 02 03 08 09 12 19 04,2/18/2019
19017,01 04 09 12 15 21 22 16,2/15/2019
19016,02 05 13 16 18 24 25 03,2/13/2019
19015,01 04 08 14 21 27 29 25,2/11/2019
19014,06 09 12 19 20 24 25 17,2/1/2019
19013,04 05 08 10 14 24 29 22,1/30/2019
19012,03 04 15 21 24 25 29 09,1/28/2019
19011,03 05 08 12 16 17 27 24,1/25/2019
19010,03 07 18 19 25 26 30 22,1/23/2019
19009,01 03 10 11 16 18 26 22,1/21/2019
19008,01 04 06 18 21 26 29 15,1/18/2019
19007,01 06 10 12 13 22 27 26,1/16/2019
19006,10 14 19 22 24 29 30 07,1/14/2019
19005,03 07 12 13 17 20 30 22,1/11/2019
19004,05 09 14 21 24 26 29 28,1/9/2019
19003,02 05 10 12 16 23 25 24,1/7/2019
19002,01 08 13 15 18 20 26 09,1/4/2019
19001,03 05 12 13 14 16 23 17,1/2/2019
18154,05 07 11 14 18 19 25 13,12/31/2018
18153,08 10 19 20 22 27 30 05,12/28/2018
18152,01 03 04 14 16 26 28 19,12/26/2018
18151,02 03 07 16 21 22 28 30,12/24/2018
18150,05 07 11 21 22 23 27 08,12/21/2018
18149,09 13 14 16 17 23 30 24,12/19/2018
18148,01 05 11 13 19 20 21 16,12/17/2018
18147,04 08 09 11 23 26 30 12,12/14/2018
18146,02 06 08 10 22 24 27 25,12/12/2018
18145,12 13 15 16 25 29 30 11,12/10/2018
18144,02 03 09 10 15 20 22 06,12/7/2018
18143,05 07 08 12 14 26 28 09,12/5/2018
18142,05 13 14 18 24 25 30 22,12/3/2018
18141,08 11 13 15 16 28 29 18,11/30/2018
18140,02 11 14 23 25 26 30 16,11/28/2018
18139,06 13 15 18 22 26 29 16,11/26/2018
18138,03 04 05 14 16 17 22 28,11/23/2018
18137,10 12 13 14 17 22 30 08,11/21/2018
18136,04 07 11 13 22 24 30 20,11/19/2018
18135,07 14 15 21 26 29 30 12,11/16/2018
18134,04 11 13 15 17 18 19 27,11/14/2018
18133,03 05 10 12 23 27 30 26,11/12/2018
18132,01 07 09 23 25 29 30 22,11/9/2018
18131,09 12 13 16 25 26 30 02,11/7/2018
18130,03 14 15 17 20 24 28 26,11/5/2018
18129,03 06 08 16 19 20 28 24,11/2/2018
18128,01 02 09 10 11 16 21 20,10/31/2018
18127,07 11 18 21 27 28 29 03,10/29/2018
18126,02 13 14 18 25 27 29 24,10/26/2018
18125,03 04 05 06 18 19 26 28,10/24/2018
18124,02 06 10 19 20 26 28 05,10/22/2018
18123,11 15 19 21 22 25 30 06,10/19/2018
18122,03 11 19 23 26 27 29 12,10/17/2018
18121,01 09 12 16 17 21 22 15,10/15/2018
18120,02 04 06 14 17 22 26 23,10/12/2018
18119,04 11 13 14 18 20 26 29,10/10/2018
18118,05 06 13 19 26 27 29 23,10/8/2018
18117,01 03 10 13 14 16 28 30,10/5/2018
18116,05 14 20 21 24 26 30 12,10/3/2018
18115,04 07 13 17 18 20 23 15,10/1/2018
18114,02 10 13 15 18 21 30 22,9/28/2018
18113,09 10 19 21 24 28 29 14,9/26/2018
18112,05 07 13 18 27 28 29 17,9/24/2018
18111,02 03 09 17 18 21 23 11,9/21/2018
18110,08 10 12 13 17 20 25 07,9/19/2018
18109,07 09 16 17 21 22 27 20,9/17/2018
18108,05 07 15 17 20 24 27 26,9/14/2018
18107,02 04 05 08 17 19 27 21,9/12/2018
18106,02 06 12 16 18 21 28 09,9/10/2018
18105,05 09 11 12 13 28 30 03,9/7/2018
18104,02 04 11 13 20 21 27 26,9/5/2018
18103,02 08 12 16 21 25 26 19,9/3/2018
18102,07 10 13 14 15 17 21 30,8/31/2018
18101,03 12 14 17 18 19 26 10,8/29/2018
18100,01 04 07 10 16 19 29 27,8/27/2018
18099,03 09 11 13 17 18 24 25,8/24/2018
18098,04 05 10 11 14 16 29 12,8/22/2018
18097,02 03 11 12 15 25 29 26,8/20/2018
18096,10 17 19 20 23 25 29 21,8/17/2018
18095,05 06 07 08 11 20 23 14,8/15/2018
18094,01 04 05 10 23 24 30 19,8/13/2018
18093,04 05 09 21 24 28 29 13,8/10/2018
18092,05 07 09 15 20 22 23 06,8/8/2018
18091,10 13 14 21 26 27 29 01,8/6/2018
18090,02 03 12 14 15 22 23 17,8/3/2018
18089,08 09 13 18 23 24 28 21,8/1/2018
18088,01 04 09 17 18 23 26 12,7/30/2018
18087,01 09 12 18 19 23 24 06,7/27/2018
18086,04 05 06 11 17 24 26 08,7/25/2018
18085,03 08 20 22 24 27 28 09,7/23/2018
18084,04 06 08 10 14 17 25 03,7/20/2018
18083,01 08 09 10 20 26 28 16,7/18/2018
18082,04 10 12 14 27 28 30 02,7/16/2018
18081,16 17 19 25 26 27 29 07,7/13/2018
18080,03 06 07 15 22 26 30 08,7/11/2018
18079,03 09 10 15 24 26 27 01,7/9/2018
18078,04 14 15 16 24 29 30 06,7/6/2018
18077,04 06 08 21 23 28 30 14,7/4/2018
18076,08 13 16 22 25 28 30 06,7/2/2018
18075,02 04 07 14 18 20 29 01,6/29/2018
18074,04 05 06 11 15 19 21 08,6/27/2018
18073,05 07 09 13 17 18 25 23,6/25/2018
18072,01 11 13 20 21 27 29 05,6/22/2018
18071,04 07 14 16 20 25 28 13,6/20/2018
18070,02 04 05 06 12 16 23 01,6/18/2018
18069,04 11 14 20 23 26 30 05,6/15/2018
18068,02 06 09 15 20 26 28 17,6/13/2018
18067,01 06 07 08 13 18 25 27,6/11/2018
18066,02 12 20 21 26 29 30 18,6/8/2018
18065,02 03 06 07 16 19 27 15,6/6/2018
18064,03 04 17 19 26 27 29 14,6/4/2018
18063,02 10 16 19 23 28 30 11,6/1/2018
18062,01 03 10 15 22 24 30 23,5/30/2018
18061,02 12 14 17 21 22 26 30,5/28/2018
18060,02 08 18 21 22 23 30 29,5/25/2018
18059,07 08 13 16 19 25 30 18,5/23/2018
18058,02 05 09 10 18 21 28 25,5/21/2018
18057,04 08 10 23 27 28 29 17,5/18/2018
18056,01 05 14 21 22 23 29 15,5/16/2018
18055,01 12 18 20 23 27 29 19,5/14/2018
18054,04 07 08 21 25 26 27 16,5/11/2018
18053,02 03 08 09 18 25 26 10,5/9/2018
18052,06 14 16 19 22 23 30 07,5/7/2018
18051,02 10 11 12 14 17 23 22,5/4/2018
18050,03 07 08 09 13 17 29 24,5/2/2018
18049,01 08 17 18 20 27 30 29,4/30/2018
18048,03 06 07 08 12 26 27 19,4/27/2018
18047,04 06 11 19 20 25 30 09,4/25/2018
18046,04 07 08 16 24 27 28 23,4/23/2018
18045,03 06 08 11 15 21 28 22,4/20/2018
18044,02 05 07 14 15 16 23 20,4/18/2018
18043,07 18 19 21 22 24 28 02,4/16/2018
18042,03 06 08 15 20 24 27 12,4/13/2018
18041,05 13 15 17 18 22 29 09,4/11/2018
18040,01 02 03 08 12 20 23 19,4/9/2018
18039,01 02 08 11 14 19 22 10,4/6/2018
18038,02 07 10 13 20 21 27 16,4/4/2018
18037,08 10 19 21 23 24 29 15,4/2/2018
18036,04 06 07 09 14 15 28 30,3/30/2018
18035,04 05 09 10 17 27 30 06,3/28/2018
18034,02 08 11 17 18 20 30 09,3/26/2018
18033,01 02 13 14 17 24 26 03,3/23/2018
18032,13 15 16 18 21 26 29 28,3/21/2018
18031,01 04 05 07 11 22 27 13,3/19/2018
18030,06 10 15 21 22 26 30 11,3/16/2018
18029,03 04 09 15 17 22 23 12,3/14/2018
18028,07 14 21 23 25 27 30 19,3/12/2018
18027,06 08 09 24 27 28 29 05,3/9/2018
18026,06 08 10 11 12 14 28 07,3/7/2018
18025,08 09 15 18 19 21 30 01,3/5/2018
18024,01 12 13 16 18 24 28 05,3/2/2018
18023,01 02 07 14 16 24 29 17,2/28/2018
18022,07 09 14 19 26 29 30 28,2/26/2018
18021,09 12 14 20 21 24 28 17,2/23/2018
18020,06 07 16 17 18 20 24 15,2/14/2018
18019,05 11 13 18 26 27 28 06,2/12/2018
18018,02 07 12 16 20 21 26 10,2/9/2018
18017,03 06 07 09 15 19 24 22,2/7/2018
18016,01 04 05 14 16 24 25 28,2/5/2018
18015,02 08 13 15 18 20 21 27,2/2/2018
18014,04 06 13 21 24 26 27 09,1/31/2018
18013,03 04 05 09 13 18 19 15,1/29/2018
18012,04 05 06 10 11 23 24 27,1/26/2018
18011,01 05 06 10 11 13 29 24,1/24/2018
18010,02 03 08 13 14 28 30 10,1/22/2018
18009,06 10 17 18 21 26 30 19,1/19/2018
18008,03 09 18 24 26 28 29 21,1/17/2018
18007,04 05 09 12 21 25 30 20,1/15/2018
18006,07 09 16 18 21 23 27 29,1/12/2018
18005,01 09 11 16 24 29 30 15,1/10/2018
18004,03 15 19 20 22 24 27 26,1/8/2018
18003,03 06 07 14 16 17 26 05,1/5/2018
18002,03 07 10 11 16 20 22 06,1/3/2018
18001,07 09 16 18 21 22 24 12,1/1/2018
17153,06 10 11 14 19 25 26 05,12/29/2017
17152,03 07 10 19 26 27 28 21,12/27/2017
17151,02 06 07 15 19 26 30 18,12/25/2017
17150,02 13 17 22 24 29 30 19,12/22/2017
17149,08 11 15 21 23 25 30 03,12/20/2017
17148,02 03 07 24 27 28 30 15,12/18/2017
17147,04 06 07 08 14 27 29 01,12/15/2017
17146,02 06 13 21 27 28 29 12,12/13/2017
17145,02 06 10 12 17 24 28 22,12/11/2017
17144,01 03 04 11 17 22 30 27,12/8/2017
17143,03 07 09 16 19 27 28 14,12/6/2017
17142,03 11 12 14 18 24 28 13,12/4/2017
17141,02 04 10 12 17 23 28 24,12/1/2017
17140,01 13 20 23 25 26 28 18,11/29/2017
17139,01 03 05 06 12 13 30 27,11/27/2017
17138,02 03 04 06 08 09 18 12,11/24/2017
17137,01 13 15 16 24 25 29 19,11/22/2017
17136,07 09 11 18 19 21 27 25,11/20/2017
17135,06 08 19 20 21 25 27 23,11/17/2017
17134,01 02 04 07 10 16 27 06,11/15/2017
17133,01 07 11 12 26 27 29 09,11/13/2017
17132,02 08 16 17 20 23 25 11,11/10/2017
17131,05 06 07 09 12 17 19 14,11/8/2017
17130,03 09 19 22 23 27 30 12,11/6/2017
17129,01 05 08 15 22 23 30 24,11/3/2017
17128,06 12 13 18 23 26 29 08,11/1/2017
17127,03 06 07 08 11 18 27 12,10/30/2017
17126,02 06 12 13 15 24 29 10,10/27/2017
17125,02 03 04 05 12 18 30 23,10/25/2017
17124,07 13 16 18 21 29 30 09,10/23/2017
17123,05 11 14 21 22 25 30 29,10/20/2017
17122,01 04 08 09 11 12 21 02,10/18/2017
17121,02 07 09 11 19 21 23 03,10/16/2017
17120,02 03 18 19 22 23 30 08,10/13/2017
17119,07 09 12 19 26 27 29 25,10/11/2017
17118,02 03 07 11 17 26 28 25,10/9/2017
17117,01 03 11 15 22 26 29 16,10/6/2017
17116,02 04 05 11 18 21 29 22,10/4/2017
17115,01 05 06 14 19 26 30 23,10/2/2017
17114,02 04 14 19 20 27 29 10,9/29/2017
17113,01 02 08 09 10 23 25 18,9/27/2017
17112,01 02 07 09 13 15 30 11,9/25/2017
17111,02 03 13 19 20 22 23 09,9/22/2017
17110,03 06 08 12 19 21 25 09,9/20/2017
17109,01 03 06 10 15 21 23 16,9/18/2017
17108,04 05 07 09 11 14 20 17,9/15/2017
17107,05 08 12 13 19 21 29 04,9/13/2017
17106,01 03 11 17 23 25 28 04,9/11/2017
17105,06 09 11 17 19 21 28 10,9/8/2017
17104,01 03 17 26 27 28 29 11,9/6/2017
17103,04 09 14 17 22 25 29 11,9/4/2017
17102,12 17 18 23 24 25 29 03,9/1/2017
17101,03 13 14 19 21 22 29 01,8/30/2017
17100,05 08 12 21 23 27 30 22,8/28/2017
17099,05 13 19 21 23 26 30 24,8/25/2017
17098,02 05 07 15 17 26 27 04,8/23/2017
17097,01 02 06 08 13 18 19 30,8/21/2017
17096,07 08 10 13 18 20 26 16,8/18/2017
17095,01 04 08 09 13 23 27 24,8/16/2017
17094,02 04 15 18 19 24 27 09,8/14/2017
17093,04 07 09 12 24 26 30 03,8/11/2017
17092,04 05 09 11 20 21 29 24,8/9/2017
17091,13 18 25 26 28 29 30 04,8/7/2017
17090,02 07 19 22 23 25 28 16,8/4/2017
17089,01 05 10 20 21 27 28 22,8/2/2017
17088,04 05 08 16 18 19 27 11,7/31/2017
17087,02 05 12 15 17 23 29 19,7/28/2017
17086,01 03 04 06 19 20 25 13,7/26/2017
17085,02 08 11 12 21 24 25 20,7/24/2017
17084,07 09 12 19 20 25 27 15,7/21/2017
17083,01 05 08 12 20 24 27 21,7/19/2017
17082,01 10 11 19 20 22 23 26,7/17/2017
17081,04 13 14 21 23 25 28 11,7/14/2017
17080,02 04 09 14 16 21 27 18,7/12/2017
17079,01 08 09 12 19 23 29 25,7/10/2017
17078,01 09 11 12 19 24 29 13,7/7/2017
17077,05 10 17 20 25 26 27 15,7/5/2017
17076,07 11 19 20 26 27 29 08,7/3/2017
17075,02 11 19 20 25 26 27 03,6/30/2017
17074,03 05 07 13 16 18 21 15,6/28/2017
17073,01 04 05 14 17 25 27 03,6/26/2017
17072,06 10 15 17 18 21 25 08,6/23/2017
17071,06 08 10 19 23 26 29 18,6/21/2017
17070,07 08 18 19 24 27 28 10,6/19/2017
17069,04 08 12 16 25 28 30 07,6/16/2017
17068,15 21 24 25 26 27 29 01,6/14/2017
17067,01 11 12 21 27 28 30 26,6/12/2017
17066,12 14 20 21 27 29 30 09,6/9/2017
17065,01 10 13 14 18 21 23 06,6/7/2017
17064,02 06 12 16 26 28 30 17,6/5/2017
17063,02 13 15 16 20 22 23 12,6/2/2017
17062,07 12 19 22 23 28 29 14,5/31/2017
17061,11 12 15 17 23 28 30 08,5/29/2017
17060,03 06 07 09 17 22 29 13,5/26/2017
17059,08 09 14 17 19 25 26 01,5/24/2017
17058,05 09 12 21 23 24 28 06,5/22/2017
17057,01 19 22 24 25 26 30 20,5/19/2017
17056,02 04 15 17 25 27 28 16,5/17/2017
17055,01 04 08 11 12 18 29 09,5/15/2017
17054,01 03 06 10 15 18 25 26,5/12/2017
17053,04 11 20 21 22 23 24 06,5/10/2017
17052,05 06 10 14 20 26 29 18,5/8/2017
17051,12 13 14 17 22 23 28 21,5/5/2017
17050,01 02 03 11 23 27 30 17,5/3/2017
17049,08 13 22 23 25 26 29 04,5/1/2017
17048,02 04 08 11 18 22 25 07,4/28/2017
17047,03 04 07 10 12 18 21 11,4/26/2017
17046,02 05 09 11 12 17 29 19,4/24/2017
17045,02 08 11 12 19 23 29 05,4/21/2017
17044,01 03 05 06 11 12 13 04,4/19/2017
17043,03 05 14 20 22 27 28 08,4/17/2017
17042,01 07 08 11 17 19 28 12,4/14/2017
17041,03 05 07 13 17 24 29 09,4/12/2017
17040,02 10 16 22 24 25 28 20,4/10/2017
17039,07 09 11 12 13 23 26 27,4/7/2017
17038,01 09 13 14 16 21 23 19,4/5/2017
17037,05 07 08 09 19 22 24 01,4/3/2017
17036,05 06 07 10 19 26 29 21,3/31/2017
17035,03 06 09 18 23 29 30 08,3/29/2017
17034,07 12 14 24 27 28 30 03,3/27/2017
17033,05 06 15 16 19 22 30 29,3/24/2017
17032,07 14 19 25 27 29 30 15,3/22/2017
17031,03 05 16 18 21 22 27 10,3/20/2017
17030,02 11 14 20 23 26 27 15,3/17/2017
17029,02 07 18 20 24 27 28 12,3/15/2017
17028,01 08 12 17 23 27 28 06,3/13/2017
17027,07 08 09 10 21 23 24 28,3/10/2017
17026,01 04 05 10 12 18 22 27,3/8/2017
17025,04 05 06 08 16 18 22 07,3/6/2017
17024,03 05 13 14 19 21 25 07,3/3/2017
17023,05 13 14 15 16 19 29 21,3/1/2017
17022,02 03 06 08 16 26 28 30,2/27/2017
17021,03 07 10 20 22 26 27 25,2/24/2017
17020,03 12 15 18 20 28 29 09,2/22/2017
17019,03 08 14 16 20 22 27 25,2/20/2017
